ubicageo_f,nombre1,sexo_i,edades,totalca1,gdoestud_k,estagrad_e,institsp_c,antigu_a,antigu_b,puebindi_j,fdesigna_m
14095,COMISARIA DE SEGURIDAD PUBLICA MUNICIPAL DE TEUCHITLAN JALISCO,1,26,15896,6,4,3,1,1,26,1
14096,COMISARIA DE SEGURIDAD PUBLICA MUNICIPAL,2,39,24900,3,3,17,16,1,26,3
14097,COMISARIA DE LA POLICIA PREVENTIVA MUNICIPAL,1,42,70000,6,4,3,17,1,26,1
14098,COMISARIA DE LA POLICIA PREVENTIVA MUNICIPAL DE SAN PEDRO TLAQUEPAQUE,1,45,108022,7,4,17,22,1,26,7
14099,DIRECCION DE SEGURIDAD PUBLICA DE TOLIMAN,1,57,10000,3,3,23,1,1,26,1
14100,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE TOMATLAN,1,46,21705.9,6,2,17,14,1,26,1
14101,COMISARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,42,13173,6,4,17,20,1,26,2
14102,COMISARIA DE SEGURIDAD PUBLICA TONAYA,1,32,9854,4,3,3,10,1,26,2
14103,DIRECCION DE SEGURIDAD PUBLICA,1,61,18600,4,3,9,17,6,26,1
14104,COMISARIA DE SEGURIDAD PUBLICA DE TOTATICHE,1,29,15450,3,3,17,1,1,26,3
14105,COMISARIA GENERAL DE SEGURIDAD PUBLICA TRANSITO MOVILIDAD Y TRANSPORTE TOTOTLAN,1,29,16300,3,3,5,6,1,26,3
14106,NO APLICA,3,NA,NA,0,0,0,NA,NA,0,0
14107,DIRECCION DE SEGURIDAD PUBLICA,1,73,15000,3,3,99,20,5,26,9
14108,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,52,24196,6,4,18,34,7,26,1
14109,COMISARIA DE SEGURIDAD PUBLICA Y MOVILIDAD,1,41,18000,4,3,7,22,6,25,2
14110,COMISARIA DE SEGURIDAD PUBLICA UNION DE TULA,1,37,19070.48,4,3,17,4,1,26,1
14111,JUAN CARLOS SANDOVAL CASTAÑEDA,1,36,20505.6,6,4,18,15,1,26,6
14112,COMANDANCIA MUNICIPAL,1,37,18000,4,3,22,16,10,26,1
14113,COMISARIA DE SEGURIDAD PUBLICA DE SAN GABRIEL JALISCO,1,46,15000,6,4,21,4,1,26,1
14114,SEGURIDAD PUBLICA,1,56,20000,4,3,20,2,2,26,1
14115,COMISARIA DE SEGURIDAD PUBLICA,1,34,17000,3,3,1,3,2,26,1
14116,COMISARIA DE SEGURIDAD PUBLICA DE VILLA HIDALGO JALISCO,1,50,37507.56,6,3,5,9,9,26,2
14117,COMISARIA MUNICIPAL,1,45,24314,4,1,17,10,7,26,2
14118,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y MOVILIDAD MUNICIPAL,1,48,36203.1,4,3,9,20,1,26,3
14119,COMISARIA DE SEGURIDAD CIUDADANA MUNICIPAL,1,34,20246,5,3,1,9,1,26,1
14120,COMISARIA GENERAL DE SEGURIDAD PUBLICA ZAPOPAN,1,62,95680,6,4,3,35,2,26,1
14121,COORDINACION DE SEGURIDAD Y PROTECCION CIUDADANA,1,34,20670,6,1,18,10,4,26,1
14122,DIRECCION DE SEGURIDAD PUBLICA DE ZAPOTITLAN DE VADILLO,1,34,12688,4,3,17,11,1,26,1
14123,COMISARIA DE SEGURIDAD PUBLICA,1,33,22000,6,1,9,9,9,26,2
14124,COMISARIA GENERAL DE SEGURIDAD CIUDADANA Y MOVILIDAD URBANA DE ZAPOTLANEJO,1,40,42218.51,6,4,19,17,1,26,1
14125,SEGURIDAD PUBLICA,1,42,28008,6,4,20,18,2,26,3
15001,DIRECCION DE SEGURIDAD PUBLICA Y PROTECCION CIVIL DE ACAMBAY DE RUIZ CASTAÑEDA,1,53,43575.74,4,3,1,27,1,26,2
15002,DIRECCION DE SEGURIDAD PUBLICA DE ACOLMAN,1,43,60000,6,1,17,23,2,25,2
15003,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,33,18000,4,3,9,15,3,99,2
15004,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,56,24000,3,3,1,25,3,23,1
15005,DIRECCION DE SEGURIDAD CIUDADANA MUNICIPAL,1,49,35000,4,3,9,30,1,26,2
15006,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,46,12363.12,4,3,23,26,1,26,1
15007,JOSE ARMANDO BECERRA GAMBOA,1,36,24000,6,4,19,11,0,26,3
15008,DIRECCION DE SEGURIDAD PUBLICA DE AMATEPEC,1,45,15500,3,3,3,1,1,26,1
15009,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,45,30000,6,3,1,18,1,26,2
15010,DIRECCION GENERAL DE SEGURIDAD CIUDADANA,1,35,23000,6,4,99,1,1,26,2
15011,DIRECCION DE SEGURIDAD PUBLICA,1,58,33868.94,4,3,17,19,1,26,2
15012,DIRECCION DE SEGURIDAD PUBLICA,1,36,20000,5,3,9,14,1,99,9
15013,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,36,100000,7,4,2,18,1,26,1
15014,COMISARIA MUNICIPAL DE ATLACOMULCO,1,34,40000,7,4,17,1,1,2,2
15015,DIRECCION DE SEGURIDAD PUBLICA,1,32,10400,4,3,5,7,0,26,2
15016,DIRECCION DE SEGURIDAD PUBLICA,1,52,18000,4,3,17,28,2,26,3
15017,DIRECCION DE SEGURIDAD CIUDADANA,1,53,21000,6,4,9,30,3,26,2
15018,COMISARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,48,24836.12,6,4,20,22,4,26,3
15019,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,43,43575.74,6,4,9,20,1,26,2
15020,COMISARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,38,80000,6,4,20,10,1,26,2
15021,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,47,13000,5,3,18,14,1,26,1
15022,DIRECCION DE SEGURIDAD PUBLICA,1,49,13800,3,3,17,20,1,26,1
15023,COMISARIA DE SEGURIDAD PUBLICA Y MOVILIDAD,1,44,33213.1,4,3,17,13,1,26,2
15024,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,2,48,38000,6,4,21,28,1,26,1
15025,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y BOMBEROS,1,54,50000,7,3,17,4,1,12,1
15026,DIRECCION DE SEGURIDAD PUBLICA,1,31,24000,6,4,21,3,1,26,3
15027,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,52,26833,6,2,1,33,1,99,2
15028,DIRECCION DE SEGURIDAD PUBLICA DE CHIAUTLA,1,42,20000,4,3,2,20,2,25,1
15029,MIGUEL ANGEL ROSAS ORTEGA,1,52,69488,6,3,3,32,4,26,1
15030,SEGURIDAD PUBLICA,1,36,12000,4,3,9,13,3,26,2
15031,DIRECCION GENERAL DE SEGURIDAD CIUDADANA Y TRANSITO MUNICIPAL,1,56,28800,6,3,17,1,1,26,1
15032,AYUNTAMIENTO DE DONATO GUERRA,1,34,30000,6,4,20,9,1,8,2
15033,DIRECCION DE SEGURIDAD PUBLICA,1,40,41000,6,3,20,2,1,26,2
15034,DIRECCION GENERAL DE SEGURIDAD PUBLICA,1,37,21500,4,3,5,18,1,26,1
15035,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,45,45000,6,4,9,26,3,26,2
15036,DIRECCION DE SEGURIDAD PUBLICA,1,66,13569.84,6,4,18,25,5,26,1
15037,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y VIALIDAD,1,59,106648,6,4,21,6,6,26,1
15038,DIRECCION DE SEGURIDAD PUBLICA,1,42,40000,4,3,5,20,4,26,2
15039,DIRECCION GENERAL DE SEGURIDAD Y PREVENCION CIUDADANA,1,63,40000,7,4,2,42,1,26,8
15040,DIRECCION DE SEGURIDAD PUBLICA,1,50,32000,4,3,9,27,1,26,1
15041,COMISARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,39,10,4,3,20,13,0,26,2
15042,DIRECCION DE SEGURIDAD PUBLICA DESARROLLO VIAL Y TRANSITO,1,51,20000,5,4,18,30,1,8,3
15043,DIRECCION DE SEGURIDAD PUBLICA,1,47,20000,4,3,20,1,0,12,1
15044,COMISARIA DE SEGURIDAD CIUDADANA,1,66,16000,6,4,5,10,0,26,2
15045,DIRECCION DE SEGURIDAD CIUDADANA,1,41,40000,7,4,10,18,0,26,2
15046,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE JILOTZINGO,1,61,26000,6,2,17,38,1,26,2
15047,DIRECCION DE SEGURIDAD CIUDADANA,1,49,24000,7,4,9,16,1,26,2
15048,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,52,40715,5,4,17,16,9,26,2
15049,SEGURIDAD PUBLICA,2,27,24000,6,3,22,2,2,26,3
15050,DIRECCION DE SEGURIDAD PUBLICA Y PROTECCION CIVIL,1,44,20000,6,3,20,18,1,26,2
15051,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,60,58599,6,4,17,1,1,26,2
15052,DIRECTOR DE LA DIRECCION DE SEGURIDAD PUBLICA,1,59,9112,6,3,17,10,1,26,2
15053,DIRECCION DE SEGURIDAD CIUDADANA Y MOVILIDAD,1,50,34000,7,4,20,25,1,26,2
15054,DIRECCION DE SEGURIDAD PUBLICA,1,37,68900,6,3,21,1,1,26,2
15055,DIRECCION DE SEGURIDAD PUBLICA,1,33,29557,6,4,21,1,1,26,2
15056,DIRECCION DE SEGURIDAD PUBLICA PROTECCION CIVIL Y BOMBEROS,1,40,37254,7,4,9,8,1,26,2
15057,DIRECCION GENERAL DE SEGURIDAD CIUDADANA Y TRANSITO MUNICIPAL,1,42,229742.98,7,4,9,5,1,26,2
15058,DIRECCION GENERAL DE SEGURIDAD CIUDADANA,1,45,71746,6,4,9,7,1,26,2
15059,COMISARIA DE SEGURIDAD PUBLICA Y VIALIDAD,1,38,20000,4,3,17,11,2,26,2
15060,DIRECCION DE SEGURIDAD PUBLICA,1,36,60942,6,4,3,6,1,26,8
15061,SEGURIDAD PUBLICA NOPALTEPEC,1,35,18400,4,3,1,10,1,26,2
15062,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,39,NSS,7,4,3,15,1,26,2
15063,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
15064,DIRECCION DE SEGURIDAD PUBLICA,1,36,15000,7,1,10,8,1,26,2
15065,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,51,NA,6,4,9,33,0,26,2
15066,DIRECCION DE SEGURIDAD PUBLICA,1,55,7000,2,3,17,3,3,99,1
15067,COMISARIA DE SEGURIDAD CIUDADANA Y TRANSITO MUNICIPAL,1,55,50000,6,3,9,30,1,26,1
15068,SEGURIDAD PUBLICA MUNICIPAL,1,46,23000,4,3,10,3,3,26,2
15069,SEGURIDAD PUBLICA,1,50,16000,4,3,17,26,2,26,2
15070,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,43,40000,6,4,5,21,1,26,2
15071,SEGURIDAD PUBLICA MUNICIPAL DE POLOTITLAN,1,37,30000,6,4,19,10,1,26,3
15072,DIRECCION DE SEGURIDAD PUBLICA,1,54,20000,4,3,16,4,1,26,1
15073,DIRECCION DE SEGURIDAD,1,39,22000,4,3,5,10,1,26,2
15074,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE SAN FELIPE DEL PROGRESO,1,52,30000,4,3,9,25,25,8,2
15075,COMISARIA DE SEGURIDAD Y PROXIMIDAD CIUDADANA,1,62,28884,7,4,5,20,1,26,2
15076,DIRECTOR DE SEGURIDAD HUMANA Y ORDEN VIAL,1,50,643100,3,3,18,29,1,26,2
15077,DIRECCION DE SEGURIDAD PUBLICA,1,32,11000,6,9,1,4,4,26,2
15078,SEGURIDAD PUBLICA,1,59,16000,3,3,22,1,1,26,2
15079,DIRECCION DE SEGURIDAD PUBLICA Y PROTECCION CIVIL,1,47,25000,4,3,9,29,4,26,2
15080,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE SULTEPEC,1,46,14000,3,3,1,10,1,12,4
15081,GUARDIA CIVIL TECAMAC,1,50,60863,6,4,20,18,0,26,2
15082,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE TEJUPILCO,1,51,16826,4,3,22,4,4,26,2
15083,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,34,14000,4,3,18,5,0,26,5
15084,SEGURIDAD PUBLICA MUNICIPAL DE TEMASCALAPA,1,57,5300,4,3,17,23,1,26,3
15085,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,49,20000,6,4,3,20,1,26,3
15086,SEGURIDAD PUBLICA,1,52,14000,4,3,99,30,1,26,4
15087,COMISARIA DE SEGURIDAD PUBLICA Y TRANSITO,1,35,34000,6,1,9,4,0,26,1
15088,DIRECCION DE SEGURIDAD PUBLICA,1,46,60600,6,3,9,28,1,26,3
15089,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD,1,48,17000,6,4,17,8,4,26,2
15090,DIRECCION DE SEGURIDAD PUBLICA,1,42,30000,6,3,99,20,2,26,3
15091,COMISARIO DE SEGURIDAD PUBLICA Y VIALIDAD,1,40,30000,6,4,17,17,1,26,3
15092,COMISARIA DE SEGURIDAD PUBLICA,1,52,20000,7,4,3,25,2,26,2
15093,DIRECCION DE SEGURIDAD PUBLICA DEL MUNICIPIO DE TEPETLAOXTOC ESTADO DE MEXICO,1,58,30000,4,3,9,34,1,26,2
15094,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,16000,4,3,9,5,3,26,1
15095,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,43,48000,6,4,1,1,1,26,2
15096,COMISARIA DE SEGURIDAD PUBLICA Y VIALIDAD,1,31,20200,6,4,20,13,0,26,2
15097,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,49,5000,4,3,20,22,4,26,1
15098,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,30,28000,7,2,17,8,0,26,2
15099,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y MOVILIDAD,1,58,42000,4,3,19,25,1,26,2
15100,DIRECCION DE SEGURIDAD PUBLICA,1,51,37254,4,3,10,24,1,26,9
15101,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,2,32,34000,7,4,18,10,1,26,4
15102,DIRECCION DE SEGURIDAD PUBLICA,1,42,25000,4,3,7,23,1,26,1
15103,SEGURIDAD PUBLICA MUNICIPAL,1,56,33000,6,4,11,32,1,26,1
15104,CENTRO INTEGRAL DE SEGURIDAD PUBLICA Y JUSTICIA CIVICA,1,52,70000,6,4,20,25,2,26,2
15105,DIRECCION DE SEGURIDAD PUBLICA,1,30,15000,4,3,9,9,1,26,1
15106,DIRECCION DE SEGURIDAD PUBLICA,1,73,105706,4,3,9,44,1,26,2
15107,DIRECCION DE SEGURIDAD PUBLICA,1,41,13706,4,3,17,10,1,99,2
15108,COMISARIO GENERAL,1,39,53593,7,3,19,10,1,26,2
15109,DIRECCION DE SEGURIDAD CIUDADANA VIALIDAD Y TRANSITO,1,52,69400,6,4,9,30,3,26,2
15110,DIRECCION DE SEGURIDAD PUBLICA,2,26,0,6,4,2,8,1,26,2
15111,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,30,20000,6,4,23,7,1,21,1
15112,DIRECCION DE SEGURIDAD PUBLICA,1,52,21000,4,3,18,20,1,13,2
15113,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,45,8940,3,3,99,15,4,26,2
15114,DIRECCION DE SEGURIDAD PUBLICA,1,42,30259,7,4,9,7,7,8,2
15115,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL Y TRANSITO,1,49,36600,6,4,1,30,1,26,2
15116,DIRECCION DE SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
15117,POLICIA MUNICIPAL,1,42,30000,3,3,99,15,3,26,2
15118,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,1,47,72056,6,4,3,21,1,26,2
15119,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE ZUMPAHUACAN,1,45,19962,4,3,17,10,1,26,1
15120,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,51,20000,6,4,3,29,1,26,2
15121,COMISARIA GENERAL DE SEGURIDAD CIUDADANA,1,48,73086,7,4,18,20,2,26,1
15122,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,1,61,48000,6,3,23,20,1,26,2
15123,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,35,16000,6,3,3,12,12,26,2
15124,COMISARIA DE SEGURIDAD PUBLICA PROTECCION CIVIL Y BOMBEROS,1,50,40000,4,3,17,1,1,26,2
15125,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,53,18000,3,3,3,5,1,26,2
16001,GUARDIA CIVIL MUNICIPAL,1,35,20000,4,3,6,14,2,26,6
16002,SEGURIDAD PUBLICA,2,31,18600,4,3,9,2,0,26,1
16003,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,41,16236,3,3,19,6,1,26,3
16004,SEGURIDAD PUBLICA,1,48,NSS,4,3,99,10,1,26,1
16005,SEGURIDAD PUBLICA,1,48,8000,6,3,1,3,0,26,2
16006,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL DE APATZINGAN,1,28,13000,6,4,3,4,3,26,9
16007,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,44,12156,5,4,9,23,1,26,6
16008,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
16009,DIRECCION DE SEGURIDAD PUBLICA,1,41,16140,6,3,99,11,1,26,2
16010,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
16011,DIRECCION DE SEGURIDAD PUBLICA,1,57,22000,6,4,9,4,4,26,3
16012,SEGURIDAD PUBLICA,1,44,10000,4,3,9,26,1,14,6
16013,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,33,32500,6,1,9,4,1,26,1
16014,SEGURIDAD PUBLICA,2,49,12004,5,3,18,4,1,26,1
16015,DIRECCION DE SEGURIDAD PUBLICA,1,48,37610,6,1,17,20,18,26,2
16016,SEGURIDAD PUBLICA,2,43,18000,4,3,17,17,2,26,2
16017,DIRECCION DE SEGURIDAD PUBLICA,1,37,29447,4,3,99,8,1,26,2
16018,SECRETARIA DE SEGURIDAD PUBLICA,1,50,26000,7,3,9,15,1,26,6
16019,DIRECCION DE SEGURIDAD PUBLICA,2,45,40000,4,3,3,2,2,26,3
16020,DIRECCION DE SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
16021,SEGURIDAD PUBLICA,1,40,10000,3,3,5,9,1,14,6
16022,DIRECCION DE SEGURIDAD MUNICIPAL DE CHARO,1,38,10616,6,4,8,9,8,25,2
16023,DIRECCION DE SEGURIDAD PUBLICA,1,44,42904,6,9,99,1,1,99,9
16024,RONDA COMUNITARIA,1,47,8400,3,3,9,12,6,14,5
16025,SEGURIDAD PUBLICA,1,38,22858,6,4,9,6,1,14,6
16026,SEGURIDAD PUBLICA MUNICIPAL,1,30,10000,3,3,3,6,1,26,1
16027,SECRETARIA DE SEGURIDAD PUBLICA,1,35,25400,6,4,9,8,1,26,2
16028,DIRECCION DE SEGURIDAD PUBLICA,1,59,16524,4,3,17,23,2,26,6
16029,SEGURIDAD PUBLICA,1,51,17000,2,3,5,9,2,26,2
16030,DIRECCION DE SEGURIDAD PUBLICA ECUANDUREO,1,37,NSS,7,1,9,14,3,26,2
16031,SEGURIDAD PUBLICA,1,45,27697,4,3,1,1,1,26,3
16032,GABRIEL VARGAS PICHO,1,27,14000,4,3,23,5,0,14,1
16033,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,20000,4,3,17,8,2,26,4
16034,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,49,40254.46,4,3,23,30,0,26,8
16035,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE LA HUACANA,1,34,14733.3,3,3,17,16,1,26,2
16036,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,30,17489,6,4,9,10,3,26,6
16037,SEGURIDAD PUBLICA MUNICIPAL,1,40,18000,6,4,9,18,1,26,2
16038,COMANDANCIA DE SEGURIDAD PUBLICA,1,49,22000,4,3,5,8,2,26,2
16039,DIRECTOR ABEL DOMINGUEZ AGUIRRE,1,66,13000,2,2,99,6,4,26,1
16040,DIRECCION DE SEGURIDAD PUBLICA,1,63,14000,6,3,9,34,1,26,6
16041,SEGURIDAD PUBLICA,1,59,20000,4,1,7,33,11,26,1
16042,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,38,22000,6,4,7,15,5,25,3
16043,SEGURIDAD PUBLICA MUNICIPAL,1,44,13600,4,1,9,19,0,26,6
16044,POLICIA MUNICIPAL,1,31,17200,6,1,9,11,1,26,6
16045,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL JIQUILPAN,1,42,26000,6,4,10,22,1,26,2
16046,SEGURIDAD PUBLICA DE JUAREZ,1,53,20400,6,4,19,20,2,26,2
16047,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
16048,ARTURO MARTINEZ VARGAS,1,50,8300,6,4,9,22,2,26,2
16049,DIRECCION DE SEGURIDAD Y PROTECCION CIUDADANA,1,38,28500,4,3,9,5,1,26,4
16050,DIRECCION DE SEGURIDAD PUBLICA,1,51,35724.93,6,2,9,24,2,26,6
16051,NO DISPONIBLE,98,ND,ND,98,98,998,ND,ND,998,98
16052,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,51,4018,6,4,9,22,4,26,2
16053,COMISION MUNICIPAL DE SEGURIDAD CIUDADANA,1,44,50891,8,4,5,22,2,26,8
16054,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,39,8500,4,3,9,10,3,26,6
16055,DIRECCION SEGURIDAD PUBLICA MUNICIPAL,1,43,22000,3,3,9,9,1,26,2
16056,DIRECCION DE SEGURIDAD PUBLICA,2,35,16000,4,3,6,8,1,26,6
16057,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL NOCUPETARO,1,40,24000,6,4,14,22,5,26,1
16058,DIRECCION DE SEGURIDAD PUBLICA,1,34,20418,4,3,20,10,1,14,2
16059,DIRECCION DE SEGURIDAD PUBLICA,1,42,7227,3,3,17,4,1,26,2
16060,DIRECCION DE SEGURIDAD PUBLICA,1,34,36000,5,3,9,7,1,26,6
16061,SEGURIDAD PUBLICA,1,45,16698,4,3,17,23,1,26,2
16062,SEGURIDAD PUBLICA MUNICIPAL,1,32,15468,3,3,18,8,2,26,1
16063,DIRECCION DE SEGURIDAD PUBLICA,1,26,NSS,6,1,9,8,1,26,6
16064,SEGURIDAD PUBLICA,1,37,30000,6,3,22,5,5,26,3
16065,SEGURIDAD PUBLICA MUNICIPAL,1,33,19955.68,4,3,17,1,1,14,5
16066,DIRECCION DE SEGURIDAD PUBLICA,1,40,20000,6,4,9,2,0,26,6
16067,DIRECCION DE SEGURIDAD PUBLICA,1,32,27154,4,3,9,6,1,26,6
16068,DIRECCION DE SEGURIDAD PUBLICA,1,48,23692,4,3,17,8,1,26,2
16069,SEGURIDAD PUBLICA,1,38,40000,5,4,22,9,1,26,2
16070,SEGURIDAD PUBLICA MUNICIPAL,1,41,24000,3,3,9,5,2,26,3
16071,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD DEL MUNICIPIO DE PURUANDIRO,1,44,40532,7,3,9,20,0,26,6
16072,DIRECCION DE SEGURIDAD PUBLICA,1,52,15000,4,3,18,25,2,99,3
16073,DIRECCION DE SEGURIDAD PUBLICA,1,40,28315.21,6,4,9,8,1,26,2
16074,SEGURIDAD PUBLICA MUNICIPAL,2,44,20767,4,3,18,23,1,26,6
16075,DIRECCION DE SEGURIDAD PUBLICA,1,52,43756,6,3,3,7,7,26,8
16076,SEGURIDAD PUBLICA MUNICIPAL,1,50,40000,6,4,14,10,2,26,2
16077,SEGURIDAD PUBLICA MUNICIPAL,2,50,18702,3,3,18,11,5,26,2
16078,DIRECCION DE SEGURIDAD PUBLICA DEL MUNICIPIO DE SANTA ANA MAYA,1,34,9000,6,3,9,9,1,26,7
16079,SECRETARIA DE SEGURIDAD PUBLICA,2,33,20000,4,3,18,13,2,26,6
16080,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,42,16000,4,3,6,6,0,26,6
16081,SEGURIDAD PUBLICA MUNICIPAL DE SUSUPUATO,1,41,15600,3,3,9,1,1,26,1
16082,DIRECCION DE SEGURIDAD PUBLICA DE TACAMBARO,1,39,27668,3,3,9,5,1,26,6
16083,DIRECCION DE SEGURIDAD PUBLICA,1,33,41035.74,6,3,1,14,9,26,2
16084,DIRECCION DE SEGURIDAD PUBLICA,1,32,30000,3,3,99,6,1,26,4
16085,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,32321,7,9,9,15,2,26,6
16086,SEGURIDAD PUBLICA MUNICIPAL,1,46,19796,4,3,19,28,3,26,9
16087,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,22000,3,1,99,2,2,99,1
16088,SEGURIDAD PUBLICA MUNICIPAL,1,50,11800,7,3,9,7,0,26,9
16089,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,35,23600,6,4,17,7,5,26,1
16090,DIRECCION DE SEGURIDAD PUBLICA,1,33,12800,6,3,23,4,4,14,2
16091,DIRECCION DE SEGURIDAD PUBLICA,1,36,26000,3,3,17,2,2,26,2
16092,SEGURIDAD PUBLICA MUNICIPAL,1,47,26390,4,3,99,7,2,25,3
16093,DIRECCION DE SEGURIDAD PUBLICA,1,47,26396,5,3,9,7,1,26,6
16094,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE TLAZAZALCA,1,42,21010.52,3,3,17,13,4,26,2
16095,DIRECCION DE SEGURIDAD PUBLICA,1,49,24000,6,4,9,15,15,26,2
16096,SEGURIDAD PUBLICA MUNICIPAL,1,24,30000,6,4,20,1,1,26,2
16097,SEGURIDAD PUBLICA MUNICIPAL,1,38,10000,4,3,15,13,1,25,4
16098,SEGURIDAD PUBLICA MUNICIPAL DE TUXPAN,1,42,24066,6,4,9,11,1,26,1
16099,SEGURIDAD PUBLICA DEL MUNICIPIO DE TUZANTLA,3,NA,NA,0,0,0,NA,NA,0,0
16100,SEGURIDAD PUBLICA MUNICIPAL,1,34,19600,6,3,9,12,2,26,6
16101,SEGURIDAD PUBLICA DE TZITZIO MICHOACAN,1,53,21264,3,3,18,10,5,26,6
16102,SECRETARIA DE SEGURIDAD PUBLICA,1,55,50000,6,1,1,5,1,26,1
16103,SEGURIDAD PUBLICA MUNICIPAL,1,25,22000,4,3,20,6,3,25,1
16104,DIRECCION DE SEGURIDAD PUBLICA DE VILLAMAR,1,34,29072,6,3,3,7,2,26,3
16105,SEGURIDAD PUBLICA,1,30,20000,6,3,9,10,10,26,1
16106,DIRECCION DE SEGURIDAD CIUDADANA,1,31,NSS,4,3,22,9,4,26,2
16107,DIRECCION DE SEGURIDAD PUBLICA,1,34,36000,5,3,9,7,1,26,6
16108,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE ZAMORA,1,35,50360,7,4,19,12,1,99,2
16109,DIRECCION DE SEGURIDAD PUBLICA,1,61,12364.76,6,2,5,26,5,26,1
16110,GUARDIA CIVIL,1,33,16000,3,3,18,3,1,26,6
