ubicageo_f,numeral,nombre1,anios_a,rnsnni1,colonia1,latitud1,longitu1,correo1,telefo1
14019,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14020,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14021,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14022,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14023,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA REGION SUR,2008,2,CARRETERA CIUDAD GUZMAN EL GRULLO KM 3.5,19.646501,-103.505043,CALLECDGUZMAN.C5@JALISCO.GOB.MX,3414106017
14024,1,CABINA DE RADIO,2011,1,CENTRO,20.365431,-103.822897,SEGURIDAD.PUBLICA@COCULA.GOB.MX,3777732832
14025,1,CENTRO DE LLAMADAS,2011,1,CENTRO,22.114542,-103.268093,CSPVCOLOTLAN@GMAIL.COM.MX,4996880160
14026,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14027,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14028,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14029,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14030,1,COMISARIA DE SEGURIDAD PUBLICA DE CHAPALA,2018,1,ELECTRISISTAS,20.302150,-103.190511,COMISARIA@CHAPALA.GOB.MX,3767654444
14030,2,MODULO AJIJIC CHAPALA JALISCO,2018,9,CENTRO,20.299727,-103.262583,COMISARIA@CHAPALA.GOB.MX,3767654444
14030,3,MODULO ATOTONILQUILLO CHAPALA JALISCO,2018,9,CENTRO,20.392564,-103.123024,COMISARIA@CHAPALA.GOB.MX,3767654444
14031,1,DIRECCION DE SEGURIDAD PUBLICA,2021,1,CENTRO,21.779490,-103.780670,CSPCHIMALTITAN.JALISCO@GMAIL.COM,4379525049
14032,1,COMANDANCIA,2000,1,CENTRO,20.089735,-103.831530,SEGURIDAD@CHIQUILISTLAN.GOB.MX,3857555144
14033,1,SEGURIDAD PUBLICA MUNICIPAL,2010,1,CENTRO,20.446207,-102.135063,SPDEGOLLADO@YAHOO.COM,3549371111
14034,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14035,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14036,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14037,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14038,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14039,1,C5 GUADALAJARA,2018,1,MODERNA,20.661700,-103.353820,C5@GUADALAJARA.GOB.MX,33120-16070
14040,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14041,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14042,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14043,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14044,1,CENTRO DE COMUNICACIONES DE SEGURIDAD PUBLICA,2021,1,CENTRO,20.349133,-103.192945,SEGURIDAD.PUBLICA.IXTLA@GMAIL.COM,3767623000
14045,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14046,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14047,1,CABINA CENTRAL,2015,1,CENTRO,20.290913,-102.712953,SEGURIDADJAMAY@HOTMAIL.COM,392-9240092
14048,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14049,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14050,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14051,1,C2 JUANACATLAN,2019,1,CENTRO,20.506790,-103.172930,SEGURIDAD.JUANACATLAN@GMAIL.COM,3337370311
14052,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14053,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14054,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14055,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14056,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14057,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14058,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA CALLE 911 SIERRA OCCIDENTAL,2012,2,CENTRO,20.523083,-104.788098,CALLEMASCOTA.C5@JALISCO.GOB.MX,3883860186
14059,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14060,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14061,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14062,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14063,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14064,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14065,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14066,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14067,1,NO IDENTIFICADO,NSS,97,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER
14068,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14069,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14070,1,CENTRO DE TELECOMUNICACIONES MUNICIPAL,2019,2,CENTRO,20.519010,-103.178450,14.CABINACETCOM@GMAIL.COM,3332842407
14071,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14072,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14073,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14074,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14075,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14076,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14077,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14078,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14079,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14080,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14081,1,911,2019,1,CENTRO,22.173129,-103.225068,NO APLICA,4999921811
14082,1,COMISARIA DE SEGURIDAD PUBLICA,2005,1,CENTRO,19.884300,-103.599400,SPSAYULA@HOTMAIL.COM,3424211116
14083,1,UNIDAD DE TELECOMUNICACION DE LA COMISARIA,2021,1,TALA CENTRO,20.649900,-103.700940,COMISARIASEGURIDADTALA@GMAIL.COM,3847380555
14084,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14085,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14086,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14087,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14088,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14089,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14090,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14091,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14092,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14093,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14094,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14095,1,COMISARIA DE SEGURIDAD PUBLICA,NSS,1,CENTRO,20.681681,-103.849002,SEGPUBTEUCHITLAN@GMAIL.COM,3847330001
14096,1,CABINA DE MANDO,2015,1,CENTRO,20.160720,-103.042900,SEGURIDADPUBLICATIZAPAN@HOTMAIL.COM,3767680111
14097,1,CENTRO DE COMANDO CONTROL COMUNICACION Y COMPUTO DE TLAJOMULCO DE ZUÑIGA,2020,1,CENTRO,20.475179,-103.446731,COMISARIA@TLAJOMULCO.GOB.MX,3332834400
14098,1,CENTRAL DE COMUNICACIONES E INFORMACION,2015,1,LOS MESEROS,20.641746,-103.300469,DSPM.TLAQ@HOTMAIL.COM,3330503050
14099,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14100,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14101,1,CENTRO MUNICIPAL DE COMUNICACIONES Y EMERGENCIAS C2,2021,1,CENTRO,20.628850,-103.245370,COMISARIA@TONALA.GOB.MX,3333914998
14102,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14103,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14104,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14105,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14106,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14107,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14108,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14109,1,COMISARIA DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,2007,1,EL VIGIA,21.131920,-102.001080,POLICIA_UNION@HOTMAIL.COM,3957250599
14110,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14111,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14112,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14113,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14114,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14115,1,CALLE NORTE,2021,1,CENTRO,21.983950,-103.594660,OFICIALIA.MAYO.VG@GMAIL.COM,3314670945
14116,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14117,1,BARANDILLA,2021,1,CENTRO,21.149443,-102.689078,SEGURIDADCANADASALVAREZ@GMAIL.COM,4314030533
14118,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14119,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14120,1,CENTRO DE CONTROL COMANDO COMPUTO COMUNICACIONES Y COORDINACION DE ZAPOPAN C5,1981,1,TEPEYAC,20.728710,-103.385350,C5@ZAPOPAN.GOB.MX,3338182200
14121,1,EMERGENCIAS,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14121,2,EMERGENCIAS SEGURIDAD PUBLICA,2004,1,CAPULINES,19.621929,-103.420865,SEGURIDADPUBLICA_ZAPOTILTIC@HOTMAIL.COM,3414140322
14121,3,EMERGENCIAS TRANSITO Y VIALIDAD,2021,2,CENTRO,19.632472,-103.432249,TRANSITOYVIALIDADZAP@GMAIL.COM,3414140254
14122,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14123,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
14124,1,CABINA DE RADIOCOMUNICACIONES,2021,1,EL TRAPICHE,20.621814,-103.045721,COMISARIO01ZAPOTLANEJO@GMAIL.COM,373 734 0018
14125,1,COMISARIA DE SEGURIDAD PUBLICA DE SAN IGNACIO CERRO GORDO,2018,1,CENTRO,20.741740,-102.535800,SEGURIDADPUBLICASANIGNACIO00@GMAIL.COM,3487160016
15001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15002,1,CENTRO DE MANDO DE LA DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE ACOLMAN,2010,1,CENTRO,19.635098,-098.911901,COMISARIADESEGCIU_ACOLMAN@HOTMAI.COM,5949574167
15003,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15006,1,CENTRO DE CONTROL Y COMANDO,2018,2,CENTRO,19.159411,-099.488879,SEGURIDADPUBLICA@ALMOLOYADELRIO.GOB.MX,7131320003
15007,1,C2,2001,2,CENTRO,19.253490,-100.022579,ARMANDOBECERRA@GMAIL.COM,7227939805
15008,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15009,1,CENTRO DE MANDO Y COMUNICACION COMANDO Y CONTROL,2022,2,AMECAMECA CENTRO,19.128843,-98.7696404,COORDC2@AMECAMECA.GOB.MX,5979780046
15010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15011,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15012,1,CENTRO DE CONTROL Y COMANDO,NSS,2,CENTRO,19.176739,-099.487947,SEGURIDAD.PUBLICA.ATIZAPAN@HOTMAIL.COM,7131315999
15013,1,CENTRO DE CONTROL COMANDO COMPUTO Y COMUNICACIONES,2015,1,IGNACIO LOPEZ RAYON,19.542027,-99.2345091,INTELIGENCIA.SEGURIDAD@ATIZAPAN.GOB.MX,5511062163
15014,1,RADIO OPERADOR DE LA COMISARIA MUNICIPAL DE ATLACOMULCO,2022,1,LAS FUENES,19.803620,-099.888480,COMISARIA.MUNICIPAL@ATLACOMULCO.GOB.MX,712 122 0600
15015,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15016,1,BASE,2017,1,CENTRO,19.724330,-098.757600,SECTECAXAPUSCO2224@HOTMAIL.COM,5992222345
15017,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15018,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15019,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15020,1,CENTRO DE EMERGENCIAS Y MONITOREO C 4,2022,1,HEROES COACALCO,19.642955,-099.103250,CENTRODEEMERGENCIASYMONITOREO@GMAIL.COM,5515420169
15021,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15022,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15023,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15024,1,CENTRO DE MANDO DE LA DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,2022,2,LA ALBORADA,19.663750,-099.184180,SEGURIDAD_PUBLICA_TRANSITO@CUAUTITLAN.GOB.MX,5526200852
15025,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15026,1,CENTRO DE MANDO,2018,1,CENTRO CABECERA MUNICIPAL,19.813235,-099.526005,SEGRUIDADP.CHAPADEMOTA@GMAIL.COM,5889920421
15027,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15028,1,CENTRO DE LLAMADAS DE LA COMANDANCIA,2022,2,CENTRO,19.548801,-98.8811499,COMISARIACHIAUTLA2019@GMAIL.COM,5959539275
15029,1,CENTROS DE COMANDO CONTROL COMUNICACIONES Y COMPUTO,2019,2,UNIDAD HABITACIONAL ARA 3,19.410280,-098.880600,SEG.PUB.CHICOLOAPAN@GMAIL.COM,5552996350
15030,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15031,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15032,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15033,1,CENTRO DE MANDO,2010,1,SAN CRISTOBAL CELTRO,19.622876,-99.0474599,DIRECCION.SPYT@ECATEPEC.GOB.MX,5551167428
15034,1,CENTRO DE CONTROL Y COMANDO,2021,2,BARRIO SAN MIGUEL,18.961586,-098.744270,SEGURIDADPUBLICA2022-2024@OUTLOOK.COM,5971091180
15035,1,CENTRO DE COMANDO Y COMUNICACIONES C2,2016,2,CAÑADA,19.841253,-099.214051,SEGURIDADPUBLICA@HUEHUETOCA.GOB.MX,5936110401
15036,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15037,1,CENTRO DE COMANDO Y CONTROL 2,2013,2,INTERLOMAS,19.397850,-99.2823800,HUIXQUILUCAN.C2@GMAIL.COM,5552901714
15037,2,CENTRO DE COMANDO Y CONTROL 4,2010,1,PIRULES,19.405490,-99.2796000,CMC.HUIX@GMAIL.COM,5536051440
15038,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15039,1,SISTEMA MUNICIPAL DE TECNOLOGIA POLICIAL,2010,2,U.H. GEOVILLAS DE SANTA BARBARA,19.310820,-098.900570,066IXTAPALUCA@GMAIL.COM,5559729968
15040,1,CENTRO DE MANDO Y MONITOREO C2,2015,2,IXTAPITA,18.844910,-099.684730,CCENTRODEMANDO.C2.IXTAPANDELASAL@GMAIL.COM,7211430297
15041,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15042,1,DIRECCION DE SEGURIDAD PUBLICA DESARROLLO VIAL Y TRANSITO,2015,1,SAN PEDRO LA CABECERA,19.562999,-099.742664,SEGURIDAD_PUBLICA@IXTLAHUACA.GOB.MX,7122830052
15043,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15044,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15045,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15046,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15047,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15048,1,CENTRO DE MANDO C2,2013,1,BARRIO LA TENERIA,19.701005,-099.790269,DSPM_JOCO@HOTMAIL.COM,7121230187
15048,2,MUJERES SIN VIOLENCIA JOCOTITLAN,2021,1,BARRIO LA TENERIA,19.701005,-099.790269,DSPM_JOCO@HOTMAIL.COM,7122163616
15049,1,SEGURIDAD PUBLICA Y PROTECCION CIVIL,2022,1,CENTRO,19.049217,-99.5317474,SEG.PUB.JOQUICINGO@HOTMAIL.COM,7141470631
15050,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15051,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15052,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15053,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15054,1,CENTRO DE MANDO MUNICIPAL DE METEPEC,2014,1,SANTA CRUZ,19.266985,-099.575804,CENTRODEMANDO.POLICIA@GMAIL.COM,7222084858
15055,1,COMANDANCIA,NSS,2,EL CALVARIO TECUANAPA,19.208550,-099.586934,SEGPUBLICAMX@HOTMAIL.COM,7222633709
15056,1,CENTRO DE MANDO Y CONTROL,2017,2,BARRIO TERCERO,19.777559,-99.6684339,SPMORELOS@HOTMAIL.COM,7121722717
15057,1,CENTRO DE CONTROL COMANDO COMUNICACIONES Y COMPUTO,2019,2,FRACC MIRADOR,19.478865,-099.233692,NAUCALPAN.FOLIOS.SUBDIRECCION@GMAIL.COM,5553712260
15058,1,UNIDAD DE PUESTO DE MANDO CENTRO DE COMANDO CONTROL COMUNICACIONES COMPUTO E INTELIGENCIA,2004,2,BENITO JUAREZ,19.408500,-099.017700,C4.NEZA@GMAIL.COM,5557434343
15059,1,CENTRO DE COMANDO Y COMUNICACIONES C2,2018,2,SANTA ANA NEXTLALPAN,19.744210,-099.080540,YVENEGAS940@GMAIL.COM,55 4911 5151
15060,1,CENTRO COMANDO Y COMUNICACIONES,2021,1,SANTA ANITA LA BOLSA,19.633500,-99.3006999,COMISARIA@NICOLASROMERO.GOB.MX,5563791685 5592962005
15061,1,CENTRAL DE EMERGENCIAS NOPALTEPEC,2022,1,NOPALTEPEC,19.781415,-098.712589,SEGURIDADPUBLICA@NOPALTEPEC.GOB.MX,3310682219
15062,1,C2,2016,1,BARRIO DE SANTA MARIA,19.273494,-99.4693505,C2.SEG.OCOYOACAC@GMAIL.COM,7282877270
15063,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15064,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15065,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15066,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15067,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15068,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15069,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15070,1,CENTRO DE COMANDO Y CONTROL C2,2019,2,LOS REYES CENTRO,19.358950,-098.979170,PROGRESIVO5852@GMAIL.COM,5558580545
15071,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15072,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15073,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15074,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15075,1,CENTRO DE MANDO,2019,2,CENTRO,19.705202,-098.834930,COMISARIA@SANMARTINDELASPIRAMIDES.GOB.MX,5946882008
15076,1,CENTRO DE MANDO DE COMUNICACION,2022,2,CENTRO,19.284121,-099.530288,NO APLICA,NO APLICA
15077,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15078,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15079,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15080,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15081,1,CENTRO DE MANDO Y COMUNICACION TECAMAC,2009,1,5 DE MAYO,19.695080,-098.982100,COMISARIADESEGUIRDAD@TECAMAC.GOB.MX,5559388888
15082,1,CENTRO DE COMPUTO Y MANDO,2015,1,LAS AMERICAS,18.892303,-100.141437,SEGURIDAD_PUBLICATEJ@HOTMAL.COM,7242670003
15083,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15084,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15085,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15086,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15087,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15088,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15089,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15090,1,COORDINACION DE CENTRO DE MANDO C2,2001,2,CENTRO,19.103023,-099.586983,DIRECCION.SEGURIDADPUBLICA@TENANGODELVALLE.GOB.MX,7223502770
15091,1,CENTRO DE MONITOREO SUPERVISION Y VIGILANCIA,2014,1,TLATILCO,19.747520,-99.1853100,SEGURIDADPUBLICA@TEOLOYUCAN.GOB.MX,5939142161
15092,1,ATENCION A URGENCIAS CENTRO DE MANDO Y COMUNICACIONES,2022,2,BARRIO DE LA PURIFICACION,19.674598,-098.867806,SEGURIDADACIUDADAN@TEOTIHUACAN.GOB.MX,5529443115
15093,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15094,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15095,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15096,1,COMISARIA DE SEGURIDAD PUBLICA Y VIALIDAD,2022,1,CENTRO,19.910345,-099.148893,COMISARIA@TEQUIXQUIAC.GOB.MX,5919120060
15096,2,COMISARIA DE SEGURIDAD PUBLICA Y VIALIDAD SEGURICHAT,2022,1,CENTRO,19.910345,-099.148893,COMISARIA@TEQUIXQUIAC.GOB.MX,5919120060
15097,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15098,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
15099,1,AREA DE RADIO COMUNICACION Y DESPACHO DE AUXILIOS,2012,1,XOLACHE,19.520763,-098.890409,DGSPM.TEXCOCO@GMAIL.COM,5959540006
