ubicageo_f,rnspni1,nombre1,tinfre1,tinfre2,tinfre3,tinfre4,tinfre5,tinfre6,tinfre7,tinfre8,tinfre9,tinfre10,tinfre11,tinfre12,tinfre13,tinfre14,tinfre15,tinfre16,anios_a,periactu_b,siregadm_b,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
15002,1,CONCENTRADO DE DETENIDOS,1,,,,,,,,,,1,,,,,,2020,2,3,,,,,,,,,,,,,1
15003,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15004,1,ARCHIVO PERSONAS DETENIDAS POR AÑO,1,1,1,1,1,1,1,1,,,,,,,,,2022,12,4,,,,,,,,,,,,1,
15005,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15006,1,DETENCIONES ALMOLOYA DEL RIO,1,1,1,1,1,,1,1,1,1,,,1,,,,2022,2,4,,,,,,,,,,,,1,
15007,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15008,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15009,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15010,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2019,99,5,1,,,,1,,,,,,1,,
15011,1,DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,,,,,,2021,10,4,1,,,,1,,,1,,1,,,
15012,1,BITACORA,1,1,1,1,1,1,1,1,,,,,,,,,NSS,99,1,,,,,,,,,,,,,1
15013,1,BASE DE DETENIDOS,1,1,,,1,,1,1,1,1,,,,,,,2022,2,3,,,,,1,,,,,,,,
15014,1,BASE DE DATOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,2,5,,,,,1,,,,,,,,
15015,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2019,1,1,1,,,,,,,1,,,,,
15016,1,REGISTRO,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2022,1,4,1,,,,1,,,,,,,,
15017,1,BOLETAS DE DETENCION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,2,1,,,,,1,,,,,,,,
15018,1,BITACORA,1,1,,,1,,1,1,1,1,1,,,,,,2022,2,9,,,,,,,,,,,,1,
15019,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15020,1,BASE PARA PLATAFORMA MEXICO,1,1,1,1,1,1,1,1,1,1,,,,1,,,2022,2,5,,,,,,,,,,,,1,
15021,1,BITACORA,1,1,1,1,1,1,1,,,,,,,,,,2022,2,9,1,,1,,,,,,,,,,
15022,1,REGISTRO NACIONAL DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1990,1,5,1,1,1,1,1,1,1,1,1,1,,,
15023,1,COMISARIA DE SEGURIDAD PUBLICA Y MOVILIDAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2020,3,1,,,,,,,,1,,,,,
15024,1,IPH FISICO CAPTURADOS EN PLATAFORMA MEXICO,1,1,1,1,1,1,1,1,1,1,,1,,,,,2022,2,1,1,,,,,,,1,1,,,,
15025,1,INFORME POLICIAL HOMOLOGADO,1,1,1,,1,,1,,,,,,,,,,2022,7,3,1,1,1,1,1,,1,,,,,,
15026,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2018,1,5,,,,,1,,,,,,,,
15027,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15028,1,CONTROL DE DETENIDOS,1,1,1,,1,1,1,1,1,1,,1,,1,,,2022,5,4,,,,,,,,,,,1,,
15029,1,BASE DE DATOS,1,1,1,1,1,1,1,1,1,1,,,,1,1,,2019,2,5,,,,,,,,,,,,1,
15030,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15031,1,PARTE DE NOVEDADES,1,1,1,1,1,,1,1,1,1,1,1,,1,,,2022,10,1,1,1,,,,,,1,,,,,
15032,1,FLORTETE DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,NSS,1,1,,,,,,,,,,,,1,
15033,1,CENTRO DE MANDO,,1,,,,,,,,,,,,,,,2010,2,2,1,,,,1,,,1,,1,,,
15034,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,11,3,1,,,,,,,1,,,,,
15035,1,TABLA DE INFORME POLICIAL HOMOLOGADO,1,1,,1,1,,1,1,1,1,,,,1,1,,2020,2,4,1,,,,1,,1,1,,1,1,,
15036,1,BITACORA FALTAS ADMINISTRATIVAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,5,1,1,,,,1,,,,,,,,
15037,1,BASE DE DATOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2000,1,1,1,1,1,1,1,1,1,1,,,,,
15038,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2021,1,9,1,1,,,1,,,1,,,,,
15039,1,DETENIDOS POR FALTA ADMINISTRATIVA,1,1,,,,,1,1,1,1,,,,,,,2019,2,4,,,,,,,,,,,,1,
15040,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15041,1,FALTAS ADMINISTRATIVAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,10,1,,,,,,,,,,,,1,
15042,1,CAPTURA EN EXEL,,,,,1,,,,,,,,,,,,2022,5,3,,,,,,,,,,,,1,
15043,1,BITACORA,1,1,,,1,,1,1,1,,,,,,,,2021,2,9,,,,,,,,,,,,,1
15044,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15045,1,INFORME POLICIAL HOMOLOGADO IPH,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,2022,1,4,1,,,,1,,,,,,,,
15046,1,INFORME POLICIAL HOMOLOGADO,1,1,,1,1,1,1,1,1,1,,,,,,,2022,1,1,1,,,,,,,,,,,,
15047,1,CONTROL DE DETENIDOS,1,1,,,1,,1,1,1,1,1,,,1,,,2022,2,3,,,,1,,,,,,,,,
15048,1,INDICE DELICTIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,NSS,5,4,,,,,1,,,,,,,,
15049,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15050,1,REGISTRO NACIONAL DE DETENCIONES RND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2019,3,5,,,,,,1,1,1,,1,,,
15051,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15052,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15053,1,LIBRO DE GOBIERNO,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,2022,1,2,,,,,,,1,1,,,,,
15054,1,FORMATO DE REMISION,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2022,1,5,,,,1,,,,,,,,,
15055,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,,1,,1,,,2022,2,3,1,,,,,,,,,,,,
15056,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15057,1,INCIDENCIA DELICTIVA 2022,1,1,,,1,,,,,,,,,,,,2022,2,3,,,,,,,,,,,,1,
15058,1,SISTEMA DE PUESTAS Y REMISIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2013,1,5,,,,,,,,1,,,,,
15059,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2016,11,1,,,,,1,,,,,,,,
15060,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15061,1,REGISTRO,1,1,1,1,1,,,,,,,,,,,,2022,1,1,1,,,,,,,,,,,,
15062,1,BASE DE DATOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,2,3,,,,,,,,,,,,1,
15063,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15064,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15065,1,PROGRAMA DE CAPTURA DEL INFORME POLICIAL HOMOLOGADO 2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2019,1,5,1,,1,1,1,,1,1,,1,,,
15066,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15067,1,RND,,,1,,,,,,,,,,,,,,2018,3,3,,,1,,,,,,,,,,
15068,1,LIBRO DE DETENIDOS,1,1,,,,,1,1,,,,,,,,,2022,1,1,1,,,,,,,,,,,,
15069,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,,,,,,,,,,2019,1,5,1,1,1,1,1,1,1,1,1,1,,,
15070,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15071,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15072,1,REGISTRO DE PERSONAS DETENIDAS,1,1,1,1,1,,,1,1,1,,1,,,,,2022,12,3,,,,,1,,,,,,,,
15073,1,BITACORA,1,,,,,,,,,,,,,,,,2021,2,1,1,,,,,,,,,,,,
15074,1,NO SE SABE,1,,,,,,,,,,,,,,,,2022,7,1,1,1,1,,,,,,,1,,,
15075,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15076,1,DETENCIONES,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,2022,3,3,,,,,,,,,,,,1,
15077,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15078,1,RND,,,,,,,,,,,,,,,,1,2022,10,5,,,,,,,,,,,,1,
15079,1,CARPETA DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2022,1,1,1,,,,1,,,,,,,,
15080,1,REGISTRO DE PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,2,1,1,,,,1,,,,,,,,
15081,1,BASE DE DATOS,1,1,,,1,,1,1,1,1,,,,,1,,2021,2,5,,,,,1,,,,,,,,
15082,1,PUESTAS A DISPOSICION,1,1,1,1,1,1,1,1,1,1,1,,,,,,2019,9,1,,,,,,,,,,,,1,
15083,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2018,1,5,,,,,,,,,,,,1,
15084,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15085,1,REGISTRO DE PERSONAS DETENIDAS,1,1,,,1,,1,1,,1,,,,,,,2019,3,4,,,,,1,,,,,,,,
15086,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15087,1,NO SE SABE,1,1,1,,1,,,1,1,,,,,,,,NSS,2,3,,,1,,,,,,,,,,
15088,1,SIN NOMBRE,1,1,,,1,,1,1,1,1,,,,,1,,2011,2,3,,,,,,,,,,,,1,
15089,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15090,1,RND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2020,11,5,,,,,1,,,,,,,,
15091,1,LIBRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,2,5,,,,,,,,,,,,1,
15092,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15093,1,BITACORA IPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2019,10,4,1,,1,,1,,1,1,1,1,,,
15094,1,REGISTRO DE INCIDENCIAS,1,1,1,,1,1,1,1,1,1,,1,,1,,,2019,3,1,1,1,1,1,1,1,,1,1,1,,,
15095,1,LISTA DE BOLETA DE PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,,,,,,,2022,5,4,1,1,1,1,1,1,1,1,1,1,,,
15096,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2022,1,1,1,,,,,,,,,,,,
15097,1,LIBRO DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2022,1,1,1,,,,,,,1,,,,,
15098,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,1,1,1,,,,,,,,,1,,,
15099,1,CAPTURA UDAI,,,,,,,,,,,,1,,,,,2020,2,4,,,,,,,,,,,,1,
15100,1,REMISIONES Y REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,2,2,1,1,1,1,1,1,1,1,1,1,,,
15101,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15102,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15103,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2018,1,3,,,1,,,,,,,,,,
15104,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15105,1,RND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,5,3,,,,,,1,,,,,,,
15106,1,PLATAFORMA MEXICO,1,,,,1,,,,,,,,,,,,2015,1,5,,,,,,,,1,,1,,,
15107,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
15108,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15109,1,PUESTAS A DISPOSICION,1,1,,,1,,1,1,1,1,,,,,1,,2021,5,4,,,,,,,,,,,,1,
15110,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15111,1,INFORME POLICIAL,,,,,,,,,,,1,,,,,,2022,5,5,,,,,,,,,,,1,,
15112,1,PLATAFORMA MEXICO,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2022,10,5,,,,,,,,,,,,1,
15113,1,LIBRO DE DETENIDOS,1,1,,,,,1,1,1,,,,,,1,,2022,1,1,1,,,,,,,,,,,,
15114,1,REGUSTRO DE PERSONAS DETENIDAS,1,1,,,1,,1,1,,1,,,,,,,2016,5,5,1,,1,,,,,1,,,,,
15115,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15116,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15117,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2015,10,1,1,,,,1,,,,,,,,
15118,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15119,1,ARCHIVO DE LA DIRECCION DE SEGURIDAD PUBLICA,1,1,1,1,1,1,1,1,1,1,,,,,,,2020,1,1,1,,,,,,,1,,,,,
15120,1,ARCHIVO MUNICIPAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2019,1,2,,,,,,,,,,,,1,
15121,1,INFORME POLICIAL HOPMOLOGADO,1,1,1,1,1,1,1,1,1,1,,1,,,,,2022,2,5,,,,,,,,1,,,,,
15122,1,BASE DE DATOS,1,1,,1,1,,1,,1,1,,,,1,,,2018,2,3,,,,,,,,,,,,1,
15123,1,REGISTRO ADMINISTRATIVO,,,,,,,1,,,,,,,,,,2022,1,4,,,,,,,,,,,,1,
15124,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15125,1,DETENIDOS,1,1,1,1,1,,,,,,,,,,,,2022,3,3,1,,1,,,,,,,,,,
16001,1,CONTROL DE INGRESOS A BARANDILLAS,1,1,,1,1,,1,1,1,1,1,1,,1,,,2015,2,1,,,1,,,,,,,,,,
16002,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
16004,1,BOLETA DE CONTROL DE DETENIDO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,1,1,,,,,,,,,,,,1,
16005,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
16006,1,ARCHIVO DE DETENCION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2021,3,5,1,1,,,,,,,,1,,,
16007,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16008,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16010,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16012,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16014,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,1,LIBRO DE REGISTRO,1,1,,1,1,1,1,1,1,,,,,1,,,2019,2,1,,,,,,,,,,,,1,
16016,1,FALTAS ADMINISTRATIVAS,1,,,,,,,,,,,,,,,,2009,3,4,,,,,,,,,,,,1,
16017,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16018,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16019,1,FICHA SIGNALETICA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2021,1,4,1,1,,,,,,1,,,,,
16020,1,BITACORAS IPH,1,1,,,1,,1,1,1,1,1,1,,1,,,2021,3,1,1,1,1,,,,,1,,,,,
16021,1,NO SE SABE,1,1,1,1,1,1,1,1,1,,1,1,,1,,,2021,1,1,,,,1,,,,,,,,,
16022,1,BITACORA DE PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2021,1,1,,,,,,,,,,,,1,
16023,1,DETENCIONES,1,1,1,1,1,1,1,1,1,1,,,,1,,,2021,10,4,1,1,,,,,,,,1,,,
16024,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2021,1,3,,,,,,,,,,,,1,
16025,1,ARCHIVO BARANDILLAS,1,1,1,1,1,1,,1,1,1,1,1,,1,,,2022,5,1,,,,,,,,,,,,1,
16026,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16027,1,IPH,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,2022,10,5,,,1,,1,,,,,,,,
16028,1,ARCHIVO PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,1,1,,,,,,,,,,,,1,
16029,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16030,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16031,1,BITACORA DE REGISTROS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,1,1,,,,,,,,,,,,1,
16032,1,BITACORAS SOBRE LOS ASUNTOS,1,1,,,1,1,1,1,1,1,,1,,1,,,2021,5,1,,,,,,,,,,,,1,
16033,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16034,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2011,1,1,,,,,,,,,1,,,,
16035,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16036,1,DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2015,1,4,,,,,1,,,,,,1,,
16037,1,DETENIDOS BARANDILLAS,1,1,,1,1,,,1,,,,,,1,,,2021,5,5,,,,,,,,,,,,1,
16038,1,INGRESOS Y EGRESOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2013,10,1,,,1,1,,,,1,,,,,
16039,1,ARCHIVO EN PAPELERA,1,1,,,,,1,1,,,,1,,,,,2019,10,9,,,,,,,,,,,,1,
16040,1,REGISTRO DE FALTAS ADMINISTRATIVAS,1,,,,,,,,,,,,,,,,2022,5,1,,,,,,,,,,,,1,
16041,1,BITACORA DE REGISTRO DE PERSONAS INFRACTORAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2000,1,5,,,,,,,,,,,,1,
16042,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16043,1,FICHAS,1,1,1,1,1,,1,1,1,1,1,1,,1,,,2013,2,4,,,,,,,,,,,,1,
16044,1,REGISTRO DETENIDOS,,,,,,,1,,,,,,,,,,2021,2,4,,,,,,,,,,,1,,
16045,1,REGISTRO BARANDILLA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,NSS,99,9,,,,,,,,,,,,,1
